2888 //  007 James Bond //  $7.06 //  $18.50 //  $148.50 // 
66732 //  "007 James Bond [Players Choice]" //   //   //   // 
31328 //  2 In 1: Flying Warriors / Fighting Simulator //  $9.11 //  $19.43 //  $32.22 // 
13259 //  4 in 1 Funpak //  $3.28 //  $11.07 //  $22.33 // 
13260 //  4 in 1 Funpak Volume II //  $4.45 //  $12.83 //  $19.13 // 
13461 //  Addams Family //  $8.62 //  $37.74 //  $61.26 // 
13462 //  "Addams Family Pugsleys Scavenger Hunt" //  $18.59 //  $80.37 //  $250.00 // 
7259 //  Adventure Island //  $10.97 //  $47.68 //  $109.99 // 
7260 //  Adventure Island II //  $13.68 //  $49.37 //  $215.98 // 
13263 //  Adventures of Star Saver //  $19.99 //  $89.99 //  $165.86 // 
13264 //  Aerostar //  $28.56 //  $128.69 //  $206.65 // 
18572 //  Aladdin //  $8.54 //  $38.14 //  $73.54 // 
2737 //  Alfred Chicken //  $11.34 //  $112.87 //  $130.06 // 
34778 //  Alien 3 //  $15.99 //  $55.22 //  $127.03 // 
13266 //  Alien vs Predator //  $10.68 //  $59.83 //  $138.73 // 
13267 //  All-Star Baseball 99 //  $10.39 //  $92.74 //  $213.30 // 
2740 //  Alleyway //  $5.04 //  $11.85 //  $38.33 // 
13268 //  Altered Space //  $9.99 //  $47.45 //  $109.14 // 
13269 //  Amazing Penguin //  $15.98 //  $85.24 //  $200.00 // 
13464 //  Amazing Spiderman //  $6.80 //  $21.78 //  $48.64 // 
13465 //  Amazing Spiderman 2 //  $11.19 //  $39.10 //  $94.94 // 
32749 //  Amazing Tater //  $270.00 //  $1028.24 //  $2364.95 // 
2743 //  Animaniacs //  $7.92 //  $39.00 //  $104.26 // 
12094 //  Arcade Classic 2: Centipede and Millipede //  $4.67 //  $14.00 //  $15.28 // 
2746 //  Arcade Classic 3: Galaga and Galaxian //  $8.20 //  $17.16 //  $32.86 // 
37588 //  Arcade Classic 4: Defender and Joust //  $6.29 //  $13.84 //  $23.94 // 
2747 //  Arcade Classic: Asteroids and Missile Command //  $5.45 //  $12.68 //  $14.22 // 
18488 //  Arcade Classic: Super Breakout and Battlezone //  $6.93 //  $12.99 //  $15.45 // 
21154 //  Asteroids //  $6.19 //  $29.01 //  $52.42 // 
13273 //  Atomic Punk //  $14.90 //  $109.00 //  $241.64 // 
13416 //  Attack of the Killer Tomatoes //  $15.63 //  $92.43 //  $200.00 // 
2754 //  Avenging Spirit //  $89.00 //  $287.91 //  $750.00 // 
10440 //  Balloon Kid //  $14.00 //  $44.89 //  $52.71 // 
13283 //  Barbie Game Girl //  $11.50 //  $40.21 //  $92.47 // 
13284 //  "Bart Simpsons Escape from Camp Deadly" //  $7.99 //  $22.45 //  $94.50 // 
12538 //  Baseball //  $4.50 //  $15.49 //  $88.12 // 
13286 //  Bases Loaded //  $4.57 //  $11.57 //  $75.19 // 
8571 //  Batman Forever //  $6.50 //  $26.99 //  $43.35 // 
2760 //  Batman the Series //  $25.00 //  $105.05 //  $212.50 // 
13288 //  Batman the Video Game //  $10.16 //  $26.70 //  $97.32 // 
18680 //  Batman: Return of the Joker //  $12.36 //  $58.25 //  $138.75 // 
13289 //  Battle Arena Toshinden //  $10.64 //  $24.63 //  $46.75 // 
20091 //  Battle Bull //  $14.08 //  $34.22 //  $97.19 // 
21133 //  Battle Unit Zeoth //  $11.70 //  $97.58 //  $97.58 // 
21153 //  Battleship //  $4.99 //  $12.71 //  $25.40 // 
2764 //  Battletoads //  $11.29 //  $51.53 //  $250.00 // 
16262 //  Battletoads & Double Dragon //  $25.93 //  $499.95 //  $499.95 // 
