12168 //  10-Yard Fight //  $5.40 //  $26.91 //  $435.50 // 
37965 //  10-Yard Fight [5 Screw] //  $4.85 //  $24.99 //  $44.32 // 
12169 //  1942 //  $13.38 //  $59.48 //  $184.36 // 
37996 //  1942 [5 Screw] //  $10.89 //  $54.75 //  $113.34 // 
12170 //  1943: The Battle of Midway //  $14.99 //  $45.71 //  $107.65 // 
8445 //  3D WorldRunner //  $8.76 //  $24.11 //  $73.00 // 
38021 //  3D WorldRunner [5 Screw] //  $7.18 //  $39.95 //  $82.17 // 
12171 //  720 //  $5.90 //  $24.15 //  $60.00 // 
12172 //  8 Eyes //  $10.97 //  $26.51 //  $132.22 // 
12173 //  A Boy and His Blob Trouble on Blobolonia //  $8.94 //  $39.96 //  $119.99 // 
12174 //  A Nightmare on Elm Street //  $46.44 //  $136.43 //  $409.22 // 
8451 //  Abadox //  $10.24 //  $28.95 //  $79.97 // 
70243 //  Acclaim Double Player Wireless Controllers //   //   //   // 
8453 //  Action 52 //  $185.97 //  $358.09 //  $420.07 // 
8455 //  Addams Family //  $15.95 //  $29.99 //  $102.51 // 
8456 //  "Addams Family Pugsleys Scavenger Hunt" //  $55.00 //  $153.02 //  $260.68 // 
8458 //  Advanced Dungeons & Dragons Dragon Strike //  $37.26 //  $94.28 //  $275.18 // 
8459 //  Advanced Dungeons & Dragons Heroes of the Lance //  $14.97 //  $33.16 //  $176.62 // 
8460 //  Advanced Dungeons & Dragons Hillsfar //  $88.00 //  $161.35 //  $283.07 // 
8462 //  Advanced Dungeons & Dragons Pool of Radiance //  $37.63 //  $59.98 //  $196.85 // 
8464 //  Adventure Island //  $11.21 //  $38.09 //  $229.33 // 
12176 //  Adventure Island 3 //  $50.46 //  $137.68 //  $349.99 // 
8465 //  Adventure Island II //  $21.54 //  $52.47 //  $181.69 // 
8466 //  Adventures in the Magic Kingdom //  $7.34 //  $21.97 //  $119.99 // 
8468 //  Adventures of Bayou Billy //  $6.12 //  $20.45 //  $166.03 // 
12119 //  Adventures of Captain Comic //  $12.00 //  $21.99 //  $45.50 // 
12175 //  Adventures of Dino Riki //  $5.88 //  $19.98 //  $82.75 // 
11979 //  Adventures of Lolo //  $11.79 //  $34.77 //  $152.65 // 
11980 //  Adventures of Lolo 2 //  $33.00 //  $60.00 //  $112.56 // 
8469 //  Adventures of Lolo 3 //  $47.52 //  $76.99 //  $216.12 // 
12377 //  Adventures of Rad Gravity //  $16.50 //  $37.25 //  $181.66 // 
8472 //  Adventures of Tom Sawyer //  $9.93 //  $22.99 //  $86.41 // 
12177 //  After Burner //  $10.00 //  $26.77 //  $75.56 // 
8488 //  Air Fortress //  $7.61 //  $22.91 //  $81.00 // 
12178 //  Airwolf //  $5.48 //  $19.99 //  $66.80 // 
8491 //  Al Unser Turbo Racing //  $5.00 //  $13.71 //  $54.17 // 
39509 //  Aladdin Deck Enhancer //  $15.67 //  $36.81 //  $117.89 // 
67580 //  "Alfonzos Arctic Adventure" //   //   //   // 
8493 //  Alfred Chicken //  $59.50 //  $140.47 //  $410.51 // 
8495 //  Alien 3 //  $23.03 //  $59.98 //  $110.98 // 
12179 //  Alien Syndrome //  $11.95 //  $24.03 //  $59.49 // 
12180 //  All-Pro Basketball //  $5.82 //  $18.99 //  $63.05 // 
12181 //  Alpha Mission //  $7.99 //  $25.83 //  $174.95 // 
38035 //  Alpha Mission [5 Screw] //  $54.99 //  $99.99 //  $456.42 // 
12183 //  Amagon //  $7.92 //  $30.00 //  $82.55 // 
8507 //  American Gladiators //  $7.47 //  $19.31 //  $51.86 // 
12184 //  Anticipation //  $3.49 //  $12.63 //  $28.37 // 
12185 //  Arch Rivals //  $6.17 //  $15.87 //  $50.88 // 
12186 //  Archon //  $9.20 //  $28.47 //  $78.10 // 
8527 //  Arkanoid //  $10.79 //  $107.97 //  $214.51 // 
