3780 //  007 GoldenEye //  $25.68 //  $42.89 //  $266.66 // 
37547 //  007 GoldenEye [Not for Resale] //  $300.00 //   //   // 
42329 //  "007 GoldenEye [Players Choice]" //  $19.82 //  $37.30 //  $117.64 // 
3966 //  007 World Is Not Enough //  $13.23 //  $23.18 //  $83.43 // 
40361 //  007 World Is Not Enough [Gray Cart] //  $9.93 //  $26.22 //  $70.79 // 
3674 //  1080 Snowboarding //  $7.79 //  $24.99 //  $165.27 // 
37542 //  1080 Snowboarding [Not for Resale] //  $124.22 //   //   // 
42325 //  "1080 Snowboarding [Players Choice]" //  $8.28 //  $24.99 //  $57.96 // 
65236 //  40 Winks [Special Edition] //   //   //   // 
3717 //  "A Bugs Life" //  $5.64 //  $19.99 //  $37.89 // 
14427 //  Aero Gauge //  $9.25 //  $29.48 //  $49.00 // 
3675 //  Aerofighters Assault //  $7.65 //  $26.00 //  $62.62 // 
3676 //  Aidyn Chronicles //  $22.25 //  $46.28 //  $63.33 // 
40351 //  Aidyn Chronicles [Gray Cart] //  $79.99 //  $126.06 //  $340.36 // 
3677 //  All-Star Baseball 2000 //  $3.93 //  $10.36 //  $26.92 // 
3678 //  All-Star Baseball 2001 //  $6.51 //  $21.74 //  $27.72 // 
3679 //  All-Star Baseball 99 //  $4.22 //  $8.99 //  $32.99 // 
3680 //  All-Star Tennis 99 //  $17.99 //  $30.99 //  $31.58 // 
3681 //  Armorines Project SWARM //  $7.38 //  $21.25 //  $37.49 // 
3683 //  Army Men Air Combat //  $10.95 //  $22.40 //  $35.84 // 
40352 //  Army Men Air Combat [Gray Cart] //  $31.66 //  $51.18 //  $138.19 // 
3684 //  "Army Men Sarges Heroes" //  $10.00 //  $24.18 //  $65.55 // 
3682 //  "Army Men Sarges Heroes 2" //  $15.07 //  $38.75 //  $75.00 // 
40353 //  "Army Men Sarges Heroes 2 [Gray Cart]" //  $11.46 //  $30.87 //  $83.38 // 
3685 //  Asteroids Hyper 64 //  $9.99 //  $24.71 //  $40.85 // 
3691 //  Atomic Purple Controller //  $19.99 //  $51.83 //  $139.93 // 
3695 //  Automobili Lamborghini //  $5.44 //  $21.51 //  $57.97 // 
45730 //  Banana Controller //  $96.57 //  $255.00 //  $688.50 // 
3696 //  Banjo-Kazooie //  $27.79 //  $76.00 //  $337.11 // 
37543 //  Banjo-Kazooie [Not for Resale] //  $53.25 //   //   // 
42326 //  "Banjo-Kazooie [Players Choice]" //  $24.16 //  $57.49 //  $155.25 // 
3697 //  Banjo-Tooie //  $28.05 //  $75.43 //  $315.72 // 
37544 //  Banjo-Tooie [Not for Resale] //  $52.80 //   //   // 
3698 //  Bass Hunter 64 //  $6.61 //  $16.99 //  $50.04 // 
3699 //  Bass Masters 2000 //  $9.64 //  $23.45 //  $52.74 // 
40354 //  Bass Masters 2000 [Gray Cart] //  $46.46 //  $96.81 //  $261.39 // 
3700 //  Batman Beyond //  $21.81 //  $49.03 //  $136.95 // 
3702 //  Battletanx //  $14.07 //  $39.97 //  $109.18 // 
3703 //  Battletanx Global Assault //  $14.70 //  $37.54 //  $109.43 // 
3701 //  Battlezone: Rise of the Black Dogs //  $19.84 //  $64.04 //  $150.31 // 
3705 //  Beetle Adventure Racing //  $13.38 //  $32.32 //  $94.43 // 
14428 //  Big Mountain 2000 //  $34.17 //  $63.14 //  $109.99 // 
3186 //  Biofreaks //  $8.58 //  $30.81 //  $74.90 // 
3706 //  Black Controller //  $16.00 //  $41.49 //  $112.01 // 
3707 //  Blast Corps //  $11.48 //  $29.76 //  $165.12 // 
3710 //  Blue Controller //  $19.33 //  $48.39 //  $130.65 // 
3711 //  Blues Brothers 2000 //  $15.99 //  $41.50 //  $90.74 // 
3712 //  Body Harvest //  $12.75 //  $35.87 //  $50.47 // 
3713 //  Bomberman 64 //  $17.84 //  $46.37 //  $173.50 // 
3715 //  Bomberman 64 Second Attack //  $130.62 //  $549.99 //  $1399.99 // 
3714 //  Bomberman Hero //  $11.27 //  $39.99 //  $128.99 // 
14881 //  Bottom of the 9th //  $9.25 //  $23.47 //  $59.30 // 
3728 //  Brunswick Circuit Pro Bowling //  $13.62 //  $31.25 //  $43.03 // 
3716 //  Buck Bumble //  $15.23 //  $40.98 //  $113.80 // 
3718 //  Bust-A-Move 2 //  $11.45 //  $26.47 //  $79.87 // 
3719 //  Bust-A-Move 99 //  $18.56 //  $33.50 //  $148.89 // 
3720 //  California Speed //  $9.15 //  $24.99 //  $59.00 // 
3721 //  Carmageddon //  $46.95 //  $83.50 //  $199.99 // 
3722 //  Castlevania //  $14.76 //  $35.79 //  $96.88 // 
3723 //  Castlevania Legacy of Darkness //  $61.68 //  $179.94 //  $302.43 // 
3724 //  Chameleon Twist //  $19.98 //  $75.88 //  $202.65 // 
3725 //  Chameleon Twist 2 //  $28.82 //  $167.65 //  $360.00 // 
3726 //  Charlie Blasts //  $20.35 //  $78.81 //  $79.99 // 
3727 //  Chopper Attack //  $5.76 //  $25.72 //  $62.99 // 
3730 //  Clay Fighter 63 1/3 //  $14.79 //  $29.87 //  $142.12 // 
3729 //  Clay Fighter Sculptors Cut //  $410.57 //  $2499.99 //  $4000.00 // 
38380 //  Cleaning Kit //  $6.27 //  $24.38 //  $49.01 // 
3731 //  Command and Conquer //  $9.29 //  $23.02 //  $77.50 // 
3732 //  "Conkers Bad Fur Day" //  $70.33 //  $134.89 //  $260.91 // 
3733 //  "Cruisn Exotica" //  $20.00 //  $50.64 //  $84.44 // 
3734 //  "Cruisn USA" //  $9.45 //  $28.31 //  $92.79 // 
42327 //  "Cruisn USA [Players Choice]" //  $8.50 //  $19.27 //  $59.50 // 
3735 //  "Cruisn World" //  $13.20 //  $28.34 //  $166.63 // 
3736 //  CyberTiger //  $11.90 //  $26.43 //  $46.31 // 
14429 //  Daikatana //  $48.55 //  $149.99 //  $320.84 // 
3737 //  Dark Rift //  $7.85 //  $23.05 //  $55.09 // 
3738 //  Deadly Arts //  $19.86 //  $50.90 //  $73.86 // 
3739 //  Destruction Derby 64 //  $12.09 //  $30.95 //  $93.06 // 
3740 //  Diddy Kong Racing //  $18.99 //  $47.51 //  $291.86 // 
37545 //  Diddy Kong Racing [Not for Resale] //  $241.16 //   //   // 
42328 //  "Diddy Kong Racing [Players Choice]" //  $30.09 //  $44.97 //  $121.42 // 
3741 //  Donald Duck Going Quackers //  $21.99 //  $83.73 //  $137.50 // 
3742 //  Donkey Kong 64 //  $24.81 //  $44.25 //  $200.00 // 
45066 //  Donkey Kong 64 [Expansion Pak Bundle] //  $42.49 //  $72.40 //  $172.42 // 
33845 //  Donkey Kong 64 [Not for Resale Gray] //  $325.01 //   //   // 
3743 //  Doom 64 //  $30.23 //  $82.67 //  $195.11 // 
3744 //  Dr. Mario 64 //  $18.74 //  $42.36 //  $106.39 // 
3745 //  Dual Heroes //  $10.92 //  $39.37 //  $94.46 // 
3746 //  Duck Dodgers //  $36.50 //  $92.47 //  $292.50 // 
3747 //  Duke Nukem 64 //  $19.88 //  $53.47 //  $118.09 // 
3748 //  Duke Nukem Zero Hour //  $14.35 //  $32.00 //  $90.39 // 
14158 //  ECW Hardcore Revolution //  $7.13 //  $23.04 //  $43.68 // 
3749 //  Earthworm Jim 3D //  $33.77 //  $113.63 //  $164.56 // 
3750 //  "Elmos Letter Adventure" //  $8.72 //  $37.61 //  $38.00 // 
3751 //  "Elmos Number Journey" //  $8.98 //  $39.69 //  $64.51 // 
3752 //  Excitebike 64 //  $8.76 //  $24.99 //  $73.61 // 
37546 //  Excitebike 64 [Not for Resale] //  $48.55 //   //   // 
3753 //  Expansion Pak //  $26.98 //  $47.88 //  $114.23 // 
