3780 /  007 GoldenEye /  $19.49 /  $42.21 /  $235.00 / 
37547 /  007 GoldenEye [Not for Resale] /  $264.48 /   /   / 
42329 /  "007 GoldenEye [Players Choice]" /  $21.99 /  $42.86 /  $117.64 / 
3966 /  007 World Is Not Enough /  $9.77 /  $19.97 /  $67.47 / 
40361 /  007 World Is Not Enough [Gray Cart] /  $10.81 /  $27.07 /  $75.03 / 
3674 /  1080 Snowboarding /  $7.30 /  $22.31 /  $109.17 / 
37542 /  1080 Snowboarding [Not for Resale] /  $116.46 /   /   / 
42325 /  "1080 Snowboarding [Players Choice]" /  $8.28 /  $21.48 /  $57.96 / 
65236 /  40 Winks [Special Edition] /   /   /   / 
3717 /  "A Bugs Life" /  $7.57 /  $17.72 /  $34.25 / 
14427 /  Aero Gauge /  $9.97 /  $31.07 /  $47.99 / 
3675 /  Aerofighters Assault /  $8.76 /  $27.74 /  $62.86 / 
3676 /  Aidyn Chronicles /  $18.18 /  $43.66 /  $58.04 / 
40351 /  Aidyn Chronicles [Gray Cart] /  $87.97 /  $126.06 /  $340.36 / 
3677 /  All-Star Baseball 2000 /  $3.25 /  $9.16 /  $24.74 / 
3678 /  All-Star Baseball 2001 /  $6.23 /  $17.17 /  $26.84 / 
3679 /  All-Star Baseball 99 /  $3.00 /  $6.40 /  $27.96 / 
3680 /  All-Star Tennis 99 /  $20.61 /  $27.60 /  $33.95 / 
3681 /  Armorines Project SWARM /  $6.92 /  $19.95 /  $49.92 / 
3683 /  Army Men Air Combat /  $10.99 /  $22.28 /  $47.28 / 
40352 /  Army Men Air Combat [Gray Cart] /  $29.71 /  $51.18 /  $138.19 / 
3684 /  "Army Men Sarges Heroes" /  $7.78 /  $24.50 /  $78.55 / 
3682 /  "Army Men Sarges Heroes 2" /  $11.25 /  $35.00 /  $88.95 / 
40353 /  "Army Men Sarges Heroes 2 [Gray Cart]" /  $12.03 /  $31.31 /  $84.70 / 
3685 /  Asteroids Hyper 64 /  $7.50 /  $20.74 /  $42.35 / 
3691 /  Atomic Purple Controller /  $19.99 /  $51.83 /  $139.93 / 
3695 /  Automobili Lamborghini /  $4.86 /  $17.95 /  $47.31 / 
45730 /  Banana Controller /  $105.00 /  $255.00 /  $688.50 / 
3696 /  Banjo-Kazooie /  $25.99 /  $57.82 /  $300.00 / 
37543 /  Banjo-Kazooie [Not for Resale] /  $62.69 /   /   / 
42326 /  "Banjo-Kazooie [Players Choice]" /  $23.00 /  $57.50 /  $155.25 / 
3697 /  Banjo-Tooie /  $21.99 /  $77.27 /  $298.55 / 
37544 /  Banjo-Tooie [Not for Resale] /  $43.88 /   /   / 
3698 /  Bass Hunter 64 /  $5.95 /  $17.95 /  $51.50 / 
3699 /  Bass Masters 2000 /  $8.41 /  $26.49 /  $45.71 / 
40354 /  Bass Masters 2000 [Gray Cart] /  $37.39 /  $94.10 /  $261.38 / 
3700 /  Batman Beyond /  $18.10 /  $45.75 /  $95.07 / 
3702 /  Battletanx /  $8.50 /  $31.22 /  $132.92 / 
3703 /  Battletanx Global Assault /  $12.99 /  $32.35 /  $113.55 / 
3701 /  Battlezone: Rise of the Black Dogs /  $16.49 /  $53.68 /  $149.99 / 
3705 /  Beetle Adventure Racing /  $10.65 /  $34.79 /  $102.50 / 
14428 /  Big Mountain 2000 /  $22.08 /  $56.50 /  $109.99 / 
3186 /  Biofreaks /  $6.54 /  $20.58 /  $55.05 / 
3706 /  Black Controller /  $16.00 /  $41.98 /  $112.00 / 
3707 /  Blast Corps /  $10.67 /  $29.99 /  $110.45 / 
3710 /  Blue Controller /  $19.33 /  $39.99 /  $107.97 / 
3711 /  Blues Brothers 2000 /  $14.64 /  $40.00 /  $55.35 / 
3712 /  Body Harvest /  $14.86 /  $31.51 /  $51.22 / 
3713 /  Bomberman 64 /  $15.00 /  $37.70 /  $156.14 / 
3715 /  Bomberman 64 Second Attack /  $119.40 /  $548.63 /  $1149.99 / 
3714 /  Bomberman Hero /  $10.99 /  $46.24 /  $124.93 / 
14881 /  Bottom of the 9th /  $7.16 /  $21.78 /  $53.99 / 
3728 /  Brunswick Circuit Pro Bowling /  $14.95 /  $37.64 /  $43.03 / 
3716 /  Buck Bumble /  $13.00 /  $49.99 /  $109.13 / 
3718 /  Bust-A-Move 2 /  $10.91 /  $25.74 /  $99.89 / 
3719 /  Bust-A-Move 99 /  $18.94 /  $43.02 /  $139.30 / 
3720 /  California Speed /  $8.29 /  $22.96 /  $59.01 / 
3721 /  Carmageddon /  $42.29 /  $82.42 /  $199.99 / 
3722 /  Castlevania /  $15.22 /  $32.17 /  $86.06 / 
3723 /  Castlevania Legacy of Darkness /  $59.30 /  $179.95 /  $300.17 / 
3724 /  Chameleon Twist /  $18.50 /  $54.57 /  $201.68 / 
3725 /  Chameleon Twist 2 /  $22.49 /  $209.66 /  $469.38 / 
3726 /  Charlie Blasts /  $19.88 /  $71.86 /  $84.91 / 
3727 /  Chopper Attack /  $3.95 /  $19.95 /  $59.49 / 
3730 /  Clay Fighter 63 1/3 /  $14.23 /  $29.87 /  $142.12 / 
3729 /  Clay Fighter Sculptors Cut /  $393.38 /  $2031.38 /  $4000.00 / 
38380 /  Cleaning Kit /  $7.12 /  $24.38 /  $49.83 / 
3731 /  Command and Conquer /  $9.92 /  $26.88 /  $59.99 / 
3732 /  "Conkers Bad Fur Day" /  $60.00 /  $135.50 /  $294.25 / 
3733 /  "Cruisn Exotica" /  $18.31 /  $53.89 /  $85.22 / 
3734 /  "Cruisn USA" /  $8.44 /  $24.37 /  $99.99 / 
42327 /  "Cruisn USA [Players Choice]" /  $9.24 /  $32.49 /  $75.95 / 
3735 /  "Cruisn World" /  $11.27 /  $27.11 /  $198.32 / 
3736 /  CyberTiger /  $10.00 /  $23.03 /  $60.00 / 
14429 /  Daikatana /  $44.33 /  $131.70 /  $320.01 / 
3737 /  Dark Rift /  $7.88 /  $26.62 /  $60.00 / 
3738 /  Deadly Arts /  $18.36 /  $51.23 /  $76.26 / 
3739 /  Destruction Derby 64 /  $12.83 /  $33.53 /  $93.83 / 
3740 /  Diddy Kong Racing /  $14.97 /  $39.13 /  $238.59 / 
37545 /  Diddy Kong Racing [Not for Resale] /  $241.17 /   /   / 
42328 /  "Diddy Kong Racing [Players Choice]" /  $28.80 /  $44.35 /  $111.02 / 
3741 /  Donald Duck Going Quackers /  $20.00 /  $74.36 /  $137.59 / 
3742 /  Donkey Kong 64 /  $19.38 /  $41.06 /  $247.53 / 
45066 /  Donkey Kong 64 [Expansion Pak Bundle] /  $41.83 /  $43.39 /  $79.99 / 
33845 /  Donkey Kong 64 [Not for Resale Gray] /  $325.01 /   /   / 
3743 /  Doom 64 /  $29.99 /  $68.33 /  $174.58 / 
3744 /  Dr. Mario 64 /  $16.20 /  $40.00 /  $112.21 / 
3745 /  Dual Heroes /  $9.71 /  $39.50 /  $94.46 / 
3746 /  Duck Dodgers /  $32.72 /  $119.99 /  $370.04 / 
3747 /  Duke Nukem 64 /  $14.52 /  $42.49 /  $149.99 / 
3748 /  Duke Nukem Zero Hour /  $13.98 /  $24.68 /  $61.37 / 
14158 /  ECW Hardcore Revolution /  $7.70 /  $19.99 /  $37.57 / 
3749 /  Earthworm Jim 3D /  $31.60 /  $78.35 /  $225.33 / 
3750 /  "Elmos Letter Adventure" /  $8.91 /  $37.50 /  $44.13 / 
3751 /  "Elmos Number Journey" /  $8.41 /  $39.50 /  $61.00 / 
3752 /  Excitebike 64 /  $8.48 /  $22.49 /  $45.85 / 
37546 /  Excitebike 64 [Not for Resale] /  $58.64 /   /   / 
3753 /  Expansion Pak /  $25.64 /  $49.78 /  $99.23 / 
3754 /  Extreme G /  $7.95 /  $20.29 /  $62.47 / 
36982 /  Extreme Green Controller /  $36.40 /  $116.18 /  $313.66 / 
3764 /  F-Zero X /  $19.55 /  $42.00 /  $236.19 / 
14430 /  F1 Pole Position 64 /  $3.61 /  $13.71 /  $35.98 / 
3755 /  F1 World Grand Prix /  $3.98 /  $11.21 /  $29.58 / 
3756 /  FIFA 64 /  $5.84 /  $16.73 /  $78.54 / 
3758 /  FIFA 99 /  $10.01 /  $17.63 /  $56.82 / 
10909 /  FIFA Road to World Cup 98 /  $8.89 /  $22.46 /  $44.28 / 
14431 /  "FOX Sports College Hoops 99" /  $3.80 /  $9.97 /  $24.77 / 
3760 /  Fighter Destiny 2 /  $19.99 /  $48.63 /  $141.20 / 
3759 /  Fighters Destiny /  $8.88 /  $19.99 /  $81.72 / 
3761 /  Fighting Force 64 /  $22.25 /  $75.00 /  $265.69 / 
3690 /  Fire Orange Controller /  $29.03 /  $59.59 /  $160.89 / 
3762 /  Flying Dragon /  $16.18 /  $79.95 /  $245.41 / 
3763 /  Forsaken 64 /  $5.95 /  $13.00 /  $31.90 / 
14390 /  Funtastic Fire Orange Nintendo 64 System /  $114.86 /  $183.79 /  $1497.00 / 
3782 /  Funtastic Grape Purple Nintendo 64 System /  $105.47 /  $219.16 /  $591.73 / 
10588 /  Funtastic Ice Blue Nintendo 64 System /  $106.87 /  $219.11 /  $499.06 / 
3689 /  Funtastic Jungle Green Nintendo 64 System /  $83.66 /  $254.31 /  $587.70 / 
13000 /  Funtastic Smoke Black Nintendo 64 System /  $90.00 /  $226.88 /  $612.58 / 
3693 /  Funtastic Watermelon Red Nintendo 64 System /  $103.75 /  $218.50 /  $465.00 / 
3787 /  GT 64 /  $7.94 /  $23.99 /  $75.54 / 
3765 /  Gameboy Transfer Pak /  $8.22 /  $30.00 /  $81.00 / 
3766 /  Gameshark /  $15.56 /  $19.92 /  $74.95 / 
3767 /  Gameshark 2.0 /  $9.99 /  $25.01 /  $69.86 / 
3768 /  Gameshark 2.1 /  $14.99 /  $37.53 /  $104.82 / 
3769 /  Gameshark 2.2 /  $13.97 /  $45.81 /  $123.69 / 
3770 /  Gameshark Pro 3.0 /  $13.06 /  $22.00 /  $59.41 / 
3771 /  Gameshark Pro 3.2 /  $24.98 /  $64.77 /  $174.86 / 
3772 /  Gameshark Pro 3.3 /  $25.74 /  $44.99 /  $121.47 / 
3773 /  Gauntlet Legends /  $25.00 /  $49.27 /  $73.96 / 
47080 /  Gauntlet Legends [Figure Bundle] /  $50.14 /  $125.35 /  $350.99 / 
3774 /  Gex 3: Deep Cover Gecko /  $11.39 /  $39.99 /  $92.90 / 
3775 /  Gex 64 /  $9.35 /  $24.97 /  $62.24 / 
3776 /  Glover /  $9.50 /  $31.11 /  $71.41 / 
46394 /  Glover [T-Shirt Edition] /  $57.14 /  $148.14 /  $399.99 / 
3777 /  "Goemons Great Adventure" /  $59.02 /  $147.87 /  $379.58 / 
3778 /  Gold Controller /  $20.98 /  $52.45 /  $146.60 / 
10474 /  Gold Nintendo 64 System /  $112.92 /  $443.20 /  $1196.63 / 
34712 /  Gold Nintendo Power 100 Controller /  $139.88 /  $350.28 /  $979.09 / 
3779 /  Golden Nugget 64 /  $7.87 /  $18.25 /  $49.24 / 
3781 /  Grape Purple Controller /  $25.00 /  $62.50 /  $175.00 / 
3783 /  Gray Controller /  $23.25 /  $51.20 /  $138.24 / 
