37292 /  1-2 Switch /  $30.01 /  $30.31 /  $34.84 / 
40298 /  88 Heroes /  $20.00 /  $21.24 /  $24.98 / 
65581 /  A Hat in Time /  $26.39 /  $27.76 /  $46.36 / 
65151 /  AI: The Somnium Files /  $31.99 /  $41.13 /  $49.50 / 
63954 /  AI: The Somnium Files [Special Agent Edition] /  $73.01 /  $84.22 /  $109.50 / 
37760 /  ARMS /  $28.58 /  $30.70 /  $38.15 / 
58235 /  ATV Drift & Tricks /  $11.89 /  $12.71 /  $16.01 / 
54998 /  Aces of The Luftwaffe Squadron /  $21.03 /  $23.25 /  $31.55 / 
47068 /  Adventure Time: Pirates of the Enchiridion /  $11.54 /  $13.50 /  $15.00 / 
63145 /  Aegis Defenders /  $30.39 /  $34.24 /  $36.00 / 
58036 /  Air Conflicts Collection /  $18.22 /  $20.51 /  $27.49 / 
49695 /  All Star Fruit Racing /  $10.52 /  $12.72 /  $16.39 / 
65340 /  Alliance Alive HD Remastered /  $32.96 /  $35.00 /  $46.64 / 
65341 /  Alliance Alive HD Remastered [Limited Edition] /  $70.29 /  $85.00 /  $100.00 / 
53902 /  "Americas Greatest Game Shows: Wheel of Fortune & Jeopardy" /  $14.99 /  $16.59 /  $17.99 / 
57982 /  American Ninja Warrior /  $21.28 /  $21.60 /  $24.99 / 
58544 /  Among the Sleep [Enhanced Edition] /  $25.00 /  $25.23 /  $37.95 / 
58448 /  Another World /  $26.00 /  $28.54 /  $44.68 / 
46369 /  Aqua Moto Racing Utopia /  $7.85 /  $9.50 /  $11.59 / 
61896 /  Aragami [Shadow Edition] /  $22.20 /  $23.01 /  $28.78 / 
53807 /  Ark Survival Evolved /  $23.50 /  $26.48 /  $34.86 / 
58437 /  "Assassins Creed III Remastered" /  $20.28 /  $20.80 /  $22.99 / 
63250 /  Astral Chain /  $39.30 /  $41.44 /  $45.00 / 
53714 /  Atari Flashback Classics /  $32.97 /  $35.18 /  $37.99 / 
58617 /  Atelier Lulua: The Scion of Arland /  $31.52 /  $35.00 /  $41.50 / 
61898 /  Atelier Lulua: The Scion of Arland [Limited Edition] /  $103.58 /  $104.99 /  $119.12 / 
45693 /  Atelier Lydie & Suelle /  $31.34 /  $37.00 /  $41.78 / 
45718 /  Atelier Lydie & Suelle Limited Edition /  $65.22 /  $72.65 /  $109.99 / 
65611 /  Atelier Ryza: Ever Darkness & the Secret Hideout [Limited Edition] /   /   /   / 
65494 /  Atelier Ryza: Ever Darkness and the Secret Hideout /  $47.78 /  $49.99 /  $64.36 / 
45196 /  Attack on Titan 2 /  $29.30 /  $29.48 /  $37.00 / 
61002 /  Attack on Titan 2: Final Battle /  $30.87 /  $34.00 /  $43.47 / 
42405 /  Axiom Verge /  $21.87 /  $23.57 /  $28.57 / 
40533 /  Axiom Verge Multiverse Edition /  $24.33 /  $28.51 /  $40.19 / 
40532 /  Azure Striker Gunvolt Striker Pack /  $20.50 /  $27.35 /  $40.49 / 
63940 /  "Baldurs Gate 1 & 2 Enhanced Edition" /  $34.38 /  $37.00 /  $45.95 / 
50754 /  Banner Saga Trilogy /  $12.00 /  $12.24 /  $13.50 / 
53715 /  Bass Pro Shops The Strike: Championship Edition /  $14.02 /  $14.85 /  $14.95 / 
53716 /  Bass Pro Shops The Strike: Championship Edition with Fishing Rod /  $33.34 /  $38.45 /  $50.00 / 
40491 /  Batman: The Telltale Series /  $18.95 /  $20.42 /  $29.70 / 
46429 /  Battle Chasers Nightwar /  $15.00 /  $17.00 /  $18.78 / 
58282 /  Battle Chef Brigade /  $29.68 /  $30.00 /  $44.51 / 
54441 /  Battle Chef Brigade Deluxe /  $23.99 /  $25.09 /  $40.00 / 
58280 /  Battle Chef Brigade [Brigadier Edition] /  $56.19 /  $64.62 /  $84.00 / 
58557 /  Battle Worlds Kronos /  $18.03 /  $20.97 /  $21.68 / 
45073 /  Bayonetta 2 /  $25.75 /  $28.37 /  $48.42 / 
66508 /  Bee Simulator /  $30.76 /  $31.73 /  $39.95 / 
40499 /  Ben 10 /  $14.25 /  $17.06 /  $20.43 / 
53770 /  Bendy and the Ink Machine /  $19.86 /  $22.00 /  $26.35 / 
52174 /  Big Buck Hunter Arcade /  $12.00 /  $12.67 /  $15.00 / 
37329 /  Binding of Isaac Afterbirth+ /  $27.33 /  $31.96 /  $42.94 / 
50076 /  Blade Strangers /  $20.98 /  $23.98 /  $28.61 / 
46951 /  BlazBlue Cross Tag Battle /  $22.97 /  $24.51 /  $30.10 / 
47039 /  "BlazBlue Cross Tag Battle [Collectors Edition]" /  $78.25 /  $89.99 /  $118.45 / 
65470 /  Blazing Chrome /   /   /   / 
65473 /  "Blazing Chrome [Collectors Edition]" /   /   /   / 
58337 /  Bloodstained: Curse of the Moon /  $26.90 /  $30.98 /  $38.00 / 
58573 /  Bloodstained: Curse of the Moon [Classic Edition] /  $81.68 /  $94.28 /  $95.72 / 
59593 /  Bloodstained: Ritual of the Night /  $19.40 /  $20.60 /  $25.92 / 
59555 /  Bomb Chicken /  $28.24 /  $31.38 /  $37.87 / 
63276 /  Bomber Crew Complete Edition /  $14.12 /  $15.99 /  $15.99 / 
47009 /  Brawlout /  $14.79 /  $15.29 /  $17.99 / 
55684 /  Broken Age /  $31.23 /  $35.75 /  $39.99 / 
58442 /  "Broken Sword 5 The Serpents Curse" /  $22.72 /  $26.13 /  $29.00 / 
65415 /  Bubble Bobble 4 Friends /   /   /   / 
65416 /  "Bubble Bobble 4 Friends [Collectors Edition]" /   /   /   / 
63992 /  Bubsy Paws on Fire /  $18.50 /  $20.92 /  $28.22 / 
63993 /  Bubsy Paws on Fire [Limited Edition] /  $28.68 /  $33.02 /  $43.49 / 
65164 /  BurgerTime Party /  $22.02 /  $23.99 /  $29.95 / 
53726 /  "Cabelas The Hunt: Championship Edition" /  $16.29 /  $17.08 /  $26.80 / 
53727 /  "Cabelas The Hunt: Championship Edition [Bundle]" /  $31.48 /  $36.31 /  $47.22 / 
