4193 //  007 Racing //  $4.37 //  $6.57 //  $18.93 // 
4858 //  007 Tomorrow Never Dies //  $4.18 //  $4.97 //  $16.62 // 
37615 //  007 Tomorrow Never Dies [Greatest Hits] //  $3.38 //  $5.00 //  $13.50 // 
37616 //  007 World Is Not Enough [Greatest Hits] //  $5.03 //  $6.18 //  $27.88 // 
12903 //  007 World is Not Enough //  $3.87 //  $7.64 //  $24.99 // 
12596 //  "101 Dalmatians II Patchs London Adventure" //  $8.17 //  $8.78 //  $14.07 // 
4194 //  102 Dalmatians Puppies to the Rescue //  $6.64 //  $10.79 //  $52.00 // 
12718 //  1Xtreme //  $5.97 //  $8.80 //  $23.88 // 
12597 //  2Xtreme //  $3.33 //  $5.49 //  $15.24 // 
49699 //  2Xtreme [Greatest Hits] //  $1.97 //  $6.16 //  $7.88 // 
4195 //  3D Baseball //  $4.53 //  $8.11 //  $12.24 // 
12598 //  3Xtreme //  $3.70 //  $5.98 //  $21.80 // 
4196 //  40 Winks //  $8.75 //  $12.46 //  $38.06 // 
4290 //  "A Bugs Life" //  $4.06 //  $7.18 //  $19.99 // 
49710 //  "A Bugs Life [Greatest Hits]" //  $4.85 //  $7.59 //  $19.40 // 
4234 //  A-Train //  $11.36 //  $18.25 //  $44.34 // 
38415 //  A-Train [Long Box] //  $17.60 //  $23.74 //  $229.99 // 
12599 //  ATV Mania //  $3.29 //  $4.85 //  $7.49 // 
14364 //  ATV Quad Power Racing //  $2.66 //  $3.90 //  $7.60 // 
4235 //  ATV Racers //  $3.29 //  $5.59 //  $7.25 // 
12600 //  Ace Combat 2 //  $13.00 //  $19.34 //  $54.10 // 
4197 //  Ace Combat 3 Electrosphere //  $10.06 //  $16.25 //  $38.39 // 
4198 //  Aces of the Air //  $4.00 //  $4.16 //  $10.40 // 
4199 //  Action Bass //  $2.57 //  $3.61 //  $6.41 // 
12601 //  Action Man Operation EXtreme //  $3.08 //  $6.97 //  $13.49 // 
58233 //  Action Replay //   //   //   // 
4200 //  Activision Classics //  $4.55 //  $4.69 //  $7.87 // 
49700 //  Activision Classics [Greatest Hits] //  $2.57 //  $4.47 //  $10.28 // 
12602 //  Adidas Power Soccer //  $5.32 //  $10.78 //  $27.99 // 
4201 //  Adidas Power Soccer 98 //  $2.25 //  $11.76 //  $36.51 // 
4202 //  Advanced Dungeons & Dragons Iron and Blood //  $6.85 //  $10.52 //  $35.00 // 
4203 //  Adventures of Lomax //  $65.25 //  $110.82 //  $413.46 // 
12603 //  Agile Warrior F-111X //  $5.45 //  $7.60 //  $30.76 // 
38411 //  Agile Warrior F-111X [Long Box] //  $8.92 //  $8.94 //  $64.99 // 
12604 //  Air Combat //  $4.26 //  $8.25 //  $33.73 // 
49701 //  Air Combat [Greatest Hits] //  $7.45 //  $7.50 //  $22.07 // 
38412 //  Air Combat [Long Box] //  $12.64 //  $14.00 //  $129.99 // 
12605 //  Air Hockey //  $3.73 //  $6.64 //  $8.99 // 
12606 //  Akuji the Heartless //  $5.48 //  $11.24 //  $25.87 // 
4204 //  Aladdin in Nasiras Revenge //  $11.89 //  $13.89 //  $41.48 // 
4205 //  Alexi Lalas International Soccer //  $4.49 //  $5.88 //  $14.72 // 
12607 //  Alien Resurrection //  $11.97 //  $24.96 //  $54.71 // 
8499 //  Alien Trilogy //  $9.65 //  $15.25 //  $48.70 // 
37614 //  Alien Trilogy [Greatest Hits] //  $11.25 //  $14.56 //  $72.90 // 
38413 //  Alien Trilogy [Long Box] //  $14.99 //  $30.00 //  $59.96 // 
12608 //  All-Star Racing //  $3.40 //  $4.99 //  $5.75 // 
12609 //  All-Star Racing 2 //  $3.45 //  $5.53 //  $7.99 // 
13964 //  All-Star Slammin D-Ball //  $3.03 //  $6.25 //  $7.98 // 
32813 //  All-star Baseball 97 //  $5.32 //  $9.57 //  $23.17 // 
4206 //  Allied General //  $8.66 //  $12.48 //  $32.92 // 
4207 //  "Alone In The Dark One Eyed Jacks Revenge" //  $13.80 //  $23.31 //  $71.21 // 
4208 //  Alone In The Dark The New Nightmare //  $11.62 //  $17.92 //  $46.65 // 
4209 //  Alundra //  $31.85 //  $67.13 //  $180.65 // 
4210 //  Alundra 2 //  $10.00 //  $22.98 //  $42.22 // 
4211 //  Amazing Virtual Sea-Monkeys //  $3.39 //  $3.99 //  $9.57 // 
4212 //  American Pool //  $3.29 //  $5.99 //  $7.85 // 
46422 //  Analog Joystick Flightstick Controller //  $51.17 //  $53.77 //  $139.80 // 
12610 //  Andretti Racing //  $3.19 //  $5.00 //  $11.00 // 
49702 //  Andretti Racing [Greatest Hits] //  $3.25 //  $6.99 //  $12.99 // 
4213 //  Animaniacs Ten Pin Alley //  $5.09 //  $6.12 //  $26.42 // 
12612 //  Animorphs Shattered Reality //  $3.80 //  $8.50 //  $22.10 // 
4214 //  Ape Escape //  $11.51 //  $23.49 //  $51.00 // 
37617 //  Ape Escape [Greatest Hits] //  $8.53 //  $19.63 //  $51.32 // 
4215 //  Apocalypse //  $6.82 //  $11.62 //  $34.00 // 
12613 //  "Aquanauts Holiday" //  $8.00 //  $17.49 //  $44.05 // 
4216 //  Arc The Lad Collection //  $18.33 //  $59.95 //  $108.89 // 
12614 //  Arcade Party Pak //  $5.55 //  $8.13 //  $13.04 // 
4232 //  "Arcades Greatest Hits Atari Collection 1" //  $4.46 //  $6.89 //  $14.86 // 
8519 //  "Arcades Greatest Hits Atari Collection 2" //  $7.06 //  $8.75 //  $29.98 // 
4577 //  "Arcades Greatest Hits Midway Collection 2" //  $6.51 //  $7.28 //  $40.55 // 
4217 //  Area 51 //  $7.36 //  $11.06 //  $64.99 // 
4218 //  Armored Core //  $10.42 //  $20.99 //  $73.47 // 
12615 //  Armored Core Master of Arena //  $11.91 //  $20.93 //  $29.99 // 
4219 //  Armored Core Project Phantasma //  $14.23 //  $32.97 //  $116.04 // 
12616 //  Armorines Project SWARM //  $3.33 //  $8.51 //  $11.60 // 
12578 //  Army Men 3D //  $3.97 //  $6.95 //  $23.30 // 
62530 //  "Army Men 3D [Collectors Edition]" //  $3.98 //  $5.97 //  $15.57 // 
49703 //  Army Men 3D [Greatest Hits] //  $5.27 //  $6.74 //  $21.24 // 
4220 //  Army Men Air Attack //  $3.77 //  $6.00 //  $18.33 // 
4221 //  Army Men Air Attack 2 //  $5.01 //  $6.40 //  $21.99 // 
62532 //  "Army Men Air Attack [Collectors Edition]" //   //   //   // 
49704 //  Army Men Air Attack [Greatest Hits] //  $5.33 //  $8.00 //  $29.95 // 
4222 //  Army Men Gold //  $15.00 //  $22.95 //  $60.00 // 
12617 //  Army Men Green Rogue //  $4.77 //  $8.21 //  $21.35 // 
4228 //  "Army Men Sarges Heroes" //  $6.41 //  $8.70 //  $37.02 // 
12093 //  "Army Men Sarges Heroes 2" //  $6.48 //  $8.01 //  $25.81 // 
62531 //  "Army Men Sarges Heroes [Collectors Edition]" //  $9.33 //  $13.99 //  $36.37 // 
4224 //  Army Men World War //  $5.79 //  $8.68 //  $30.79 // 
4225 //  Army Men World War Final Front //  $6.90 //  $10.00 //  $28.48 // 
4226 //  Army Men World War Land Sea Air //  $5.81 //  $7.09 //  $35.38 // 
4227 //  Army Men World War Team Assault //  $4.59 //  $6.21 //  $20.09 // 
12618 //  Arthur Ready to Race //  $4.28 //  $5.88 //  $15.32 // 
12619 //  Assault Retribution //  $5.10 //  $9.23 //  $20.83 // 
4229 //  Assault Rigs //  $8.07 //  $9.65 //  $53.64 // 
38414 //  Assault Rigs [Long Box] //  $11.99 //  $15.38 //  $120.00 // 
4230 //  Asteroids //  $3.79 //  $5.99 //  $10.53 // 
37618 //  Asteroids [Greatest Hits] //  $2.89 //  $4.55 //  $11.57 // 
4231 //  Atari Anniversary Redux //  $3.57 //  $4.50 //  $11.54 // 
4233 //  Atlantis The Lost Empire //  $7.91 //  $13.63 //  $23.81 // 
12621 //  Austin Powers Pinball //  $3.41 //  $5.41 //  $6.36 // 
4236 //  Auto Destruct //  $7.18 //  $9.99 //  $27.20 // 
12658 //  Azure Dreams //  $37.37 //  $49.99 //  $113.76 // 
12659 //  BRAHMA Force the Assault on Beltlogger 9 //  $4.99 //  $8.16 //  $19.73 // 
