4193 /  007 Racing /  $4.07 /  $6.27 /  $18.93 / 
4858 /  007 Tomorrow Never Dies /  $4.33 /  $5.44 /  $20.24 / 
37615 /  007 Tomorrow Never Dies [Greatest Hits] /  $3.46 /  $5.24 /  $13.50 / 
37616 /  007 World Is Not Enough [Greatest Hits] /  $3.99 /  $5.41 /  $14.89 / 
12903 /  007 World is Not Enough /  $3.99 /  $7.99 /  $24.99 / 
12596 /  "101 Dalmatians II Patchs London Adventure" /  $7.49 /  $9.25 /  $14.27 / 
4194 /  102 Dalmatians Puppies to the Rescue /  $5.91 /  $10.75 /  $32.26 / 
12718 /  1Xtreme /  $5.97 /  $8.32 /  $23.88 / 
12597 /  2Xtreme /  $3.79 /  $5.69 /  $15.23 / 
49699 /  2Xtreme [Greatest Hits] /  $1.97 /  $6.01 /  $7.88 / 
4195 /  3D Baseball /  $5.61 /  $8.14 /  $12.47 / 
12598 /  3Xtreme /  $3.70 /  $6.95 /  $21.80 / 
4196 /  40 Winks /  $7.29 /  $12.34 /  $34.53 / 
4290 /  "A Bugs Life" /  $4.06 /  $5.95 /  $20.01 / 
49710 /  "A Bugs Life [Greatest Hits]" /  $4.39 /  $7.49 /  $20.00 / 
4234 /  A-Train /  $11.66 /  $18.38 /  $44.92 / 
38415 /  A-Train [Long Box] /  $17.60 /  $22.70 /  $232.72 / 
12599 /  ATV Mania /  $3.39 /  $3.83 /  $7.49 / 
14364 /  ATV Quad Power Racing /  $2.66 /  $3.79 /  $8.00 / 
4235 /  ATV Racers /  $3.22 /  $6.03 /  $7.69 / 
12600 /  Ace Combat 2 /  $13.95 /  $16.72 /  $59.99 / 
4197 /  Ace Combat 3 Electrosphere /  $12.13 /  $16.75 /  $38.39 / 
4198 /  Aces of the Air /  $4.82 /  $5.17 /  $9.70 / 
4199 /  Action Bass /  $3.01 /  $4.72 /  $7.48 / 
12601 /  Action Man Operation EXtreme /  $3.05 /  $8.00 /  $12.15 / 
58233 /  Action Replay /   /   /   / 
4200 /  Activision Classics /  $4.65 /  $4.99 /  $8.79 / 
49700 /  Activision Classics [Greatest Hits] /  $2.57 /  $4.46 /  $10.28 / 
12602 /  Adidas Power Soccer /  $5.32 /  $10.75 /  $27.96 / 
4201 /  Adidas Power Soccer 98 /  $2.25 /  $12.00 /  $19.95 / 
4202 /  Advanced Dungeons & Dragons Iron and Blood /  $7.37 /  $10.64 /  $29.37 / 
4203 /  Adventures of Lomax /  $56.27 /  $99.99 /  $407.43 / 
12603 /  Agile Warrior F-111X /  $6.18 /  $8.99 /  $30.87 / 
38411 /  Agile Warrior F-111X [Long Box] /  $9.30 /  $10.68 /  $141.50 / 
12604 /  Air Combat /  $3.99 /  $9.75 /  $40.88 / 
49701 /  Air Combat [Greatest Hits] /  $7.50 /  $8.49 /  $22.07 / 
38412 /  Air Combat [Long Box] /  $14.43 /  $15.24 /  $129.99 / 
12605 /  Air Hockey /  $3.74 /  $6.29 /  $8.86 / 
12606 /  Akuji the Heartless /  $5.49 /  $11.73 /  $27.97 / 
4204 /  Aladdin in Nasiras Revenge /  $11.25 /  $17.25 /  $43.42 / 
4205 /  Alexi Lalas International Soccer /  $4.49 /  $5.63 /  $14.60 / 
12607 /  Alien Resurrection /  $11.50 /  $20.84 /  $49.99 / 
