13087 //  After Burner //  $39.78 //  $56.75 //  $109.83 // 
16291 //  BC Racers //  $24.99 //  $54.98 //  $83.41 // 
15032 //  Blackthorne //  $119.29 //  $185.46 //  $256.82 // 
34067 //  Brutal: Above the Claw //  $33.22 //  $70.38 //  $96.00 // 
17612 //  Corpse Killer //  $20.95 //  $29.99 //  $46.86 // 
13734 //  Cosmic Carnage //  $11.00 //  $18.31 //  $45.00 // 
21589 //  DarXide //  $60.51 //  $60.51 //  $60.51 // 
13089 //  Doom //  $10.89 //  $27.37 //  $72.81 // 
34068 //  Fahrenheit //  $12.50 //  $36.98 //  $51.00 // 
34069 //  Golf Magazine Presents 36 Great Holes Starring Fred Couples //  $8.41 //  $10.49 //  $20.94 // 
16290 //  Knuckles Chaotix //  $79.95 //  $166.06 //  $170.00 // 
16413 //  Kolibri //  $83.26 //  $150.00 //  $264.76 // 
14170 //  Metal Head //  $10.00 //  $22.56 //  $59.09 // 
13091 //  Mortal Kombat II //  $28.95 //  $40.02 //  $176.49 // 
14832 //  Motocross Championship //  $9.40 //  $14.99 //  $42.11 // 
18486 //  NBA Jam Tournament Edition //  $28.10 //  $35.41 //  $56.24 // 
34070 //  NFL Quarterback Club //  $8.25 //  $18.80 //  $31.41 // 
18612 //  Night Trap //  $51.28 //  $70.46 //  $82.77 // 
34071 //  Pitfall Mayan Adventure //  $145.48 //  $230.37 //  $455.00 // 
13090 //  Primal Rage //  $37.91 //  $88.43 //  $113.07 // 
34072 //  RBI Baseball 95 //  $35.21 //  $75.16 //  $106.18 // 
11961 //  Sega 32X Unit //  $88.82 //  $196.51 //  $235.05 // 
18484 //  Shadow Squadron //  $19.99 //  $30.40 //  $56.23 // 
31009 //  Slam City //  $30.23 //  $46.39 //  $47.23 // 
16292 //  Space Harrier //  $33.16 //  $59.97 //  $110.00 // 
13693 //  Spiderman Web of Fire //  $228.41 //  $759.75 //  $873.86 // 
19832 //  Star Trek: Starfleet Academy //  $32.17 //  $52.46 //  $134.89 // 
13088 //  Star Wars Arcade //  $11.83 //  $19.95 //  $68.27 // 
18587 //  Supreme Warrior //  $25.26 //  $42.39 //  $59.96 // 
71628 //  Surgical Strike [Brazilian Release] //   //   //   // 
18485 //  T-Mek //  $45.87 //  $67.04 //  $99.92 // 
18640 //  Tempo //  $49.84 //  $64.00 //  $101.61 // 
34074 //  Toughman Contest //  $23.48 //  $35.21 //  $39.42 // 
13725 //  Virtua Fighter //  $14.99 //  $27.99 //  $37.57 // 
71783 //  Virtua Fighter [Special Training Pack] //   //   //   // 
13735 //  Virtua Racing Deluxe //  $11.97 //  $18.02 //  $41.10 // 
34075 //  WWF Raw //  $24.99 //  $49.38 //  $119.99 // 
34076 //  WWF Wrestlemania: Arcade Game //  $59.95 //  $99.95 //  $199.90 // 
31932 //  World Series Baseball //  $89.67 //  $211.43 //  $283.88 // 
18492 //  Zaxxon Motherbase 2000 //  $23.66 //  $56.61 //  $60.00 // 
