13087 /  After Burner /  $30.60 /  $56.30 /  $84.42 / 
16291 /  BC Racers /  $26.00 /  $55.27 /  $95.00 / 
15032 /  Blackthorne /  $105.55 /  $165.27 /  $288.28 / 
34067 /  Brutal: Above the Claw /  $26.42 /  $52.50 /  $105.00 / 
17612 /  Corpse Killer /  $13.01 /  $24.99 /  $29.95 / 
13734 /  Cosmic Carnage /  $10.09 /  $17.69 /  $31.79 / 
21589 /  DarXide /  $34.99 /  $40.30 /  $40.30 / 
13089 /  Doom /  $9.99 /  $17.98 /  $45.95 / 
34068 /  Fahrenheit /  $17.25 /  $34.51 /  $50.66 / 
34069 /  Golf Magazine Presents 36 Great Holes Starring Fred Couples /  $7.79 /  $11.49 /  $23.19 / 
16290 /  Knuckles Chaotix /  $59.99 /  $110.95 /  $225.00 / 
16413 /  Kolibri /  $74.50 /  $148.32 /  $184.05 / 
14170 /  Metal Head Sega /  $8.74 /  $20.25 /  $39.99 / 
13091 /  Mortal Kombat II /  $27.25 /  $45.22 /  $122.16 / 
14832 /  Motocross Championship /  $7.93 /  $12.89 /  $31.99 / 
18486 /  NBA Jam Tournament Edition /  $22.88 /  $34.70 /  $52.57 / 
34070 /  NFL Quarterback Club /  $8.50 /  $15.50 /  $29.99 / 
18612 /  Night Trap /  $62.76 /  $74.49 /  $79.99 / 
34071 /  Pitfall Mayan Adventure /  $137.85 /  $242.50 /  $305.00 / 
13090 /  Primal Rage /  $34.61 /  $71.25 /  $113.03 / 
34072 /  RBI Baseball 95 /  $27.87 /  $48.43 /  $75.11 / 
11961 /  Sega 32X Unit /  $91.99 /  $185.53 /  $240.00 / 
18484 /  Shadow Squadron /  $19.99 /  $27.32 /  $45.69 / 
31009 /  Slam City /  $27.80 /  $31.70 /  $47.53 / 
16292 /  Space Harrier /  $34.91 /  $55.27 /  $77.29 / 
13693 /  Spiderman Web of Fire /  $190.00 /  $675.87 /  $759.75 / 
19832 /  Star Trek: Starfleet Academy /  $22.55 /  $48.98 /  $134.89 / 
13088 /  Star Wars Arcade /  $9.81 /  $20.05 /  $48.47 / 
18587 /  Supreme Warrior /  $23.76 /  $34.29 /  $59.99 / 
18485 /  T-Mek /  $45.05 /  $60.99 /  $100.68 / 
18640 /  Tempo /  $45.38 /  $66.00 /  $102.17 / 
34074 /  Toughman Contest /  $15.98 /  $25.24 /  $35.29 / 
13725 /  Virtua Fighter /  $12.52 /  $29.66 /  $31.00 / 
13735 /  Virtua Racing Deluxe /  $13.88 /  $19.97 /  $39.95 / 
34075 /  WWF Raw /  $26.68 /  $38.72 /  $116.30 / 
34076 /  WWF Wrestlemania: Arcade Game /  $53.10 /  $89.99 /  $90.00 / 
31932 /  World Series Baseball /  $85.36 /  $184.97 /  $202.51 / 
18492 /  Zaxxon Motherbase 2000 /  $22.99 /  $56.77 /  $60.78 / 
