8444 /  3D Baseball /  $19.95 /  $54.00 /  $91.13 / 
40399 /  Action Replay /  $24.52 /  $29.95 /  $31.99 / 
8492 /  Albert Odyssey /  $95.00 /  $182.51 /  $544.09 / 
8500 /  Alien Trilogy /  $19.98 /  $35.98 /  $50.62 / 
13114 /  All-Star Baseball 97 /  $8.55 /  $28.41 /  $98.06 / 
8502 /  "Alone In The Dark One Eyed Jacks Revenge" /  $9.74 /  $26.33 /  $27.11 / 
8508 /  Amok /  $10.77 /  $20.03 /  $34.24 / 
8510 /  Andretti Racing /  $5.59 /  $11.39 /  $18.59 / 
53870 /  Arcade Racer Steering Wheel /  $15.95 /  $30.12 /  $51.18 / 
45780 /  Arcade Stick /  $32.50 /  $58.50 /  $79.99 / 
8520 /  "Arcades Greatest Hits Atari Collection" /  $11.97 /  $15.37 /  $47.00 / 
8524 /  Area 51 /  $16.02 /  $23.74 /  $54.51 / 
8535 /  Astal /  $39.49 /  $74.14 /  $191.50 / 
37476 /  Backup RAM Cart /  $35.95 /  $64.71 /  $112.00 / 
8549 /  Baku Baku /  $14.58 /  $27.36 /  $44.65 / 
8563 /  Bases Loaded 96: Double Header /  $5.41 /  $18.32 /  $22.46 / 
8572 /  Batman Forever /  $57.00 /  $130.00 /  $175.07 / 
8576 /  Battle Arena Toshinden Remix /  $9.13 /  $15.88 /  $36.89 / 
8577 /  Battle Arena Toshinden URA /  $12.49 /  $34.89 /  $70.00 / 
8581 /  Battle Monsters /  $13.94 /  $27.00 /  $44.99 / 
13142 /  Battlesport /  $74.99 /  $300.42 /  $336.90 / 
8583 /  Battlestations /  $6.93 /  $16.49 /  $22.50 / 
8612 /  Black Dawn /  $8.32 /  $19.24 /  $34.97 / 
18515 /  Black Fire /  $6.81 /  $9.48 /  $24.23 / 
8616 /  Blast Chamber /  $10.67 /  $19.70 /  $22.99 / 
8618 /  Blazing Dragons /  $12.52 /  $25.31 /  $66.91 / 
8619 /  Blazing Heroes /  $27.01 /  $58.97 /  $73.91 / 
8638 /  Bottom of the 9th /  $5.97 /  $10.09 /  $19.99 / 
8641 /  Braindead-13 /  $18.55 /  $27.02 /  $67.73 / 
8644 /  Break Point Tennis /  $9.35 /  $19.05 /  $30.54 / 
8653 /  Bubble Bobble Featuring Rainbow Islands /  $23.08 /  $40.10 /  $59.50 / 
8659 /  Bug /  $12.00 /  $27.80 /  $28.49 / 
8660 /  Bug Too /  $17.77 /  $35.00 /  $65.70 / 
8666 /  Burning Rangers /  $127.56 /  $348.83 /  $431.00 / 
8669 /  Bust A Move 3 /  $20.15 /  $79.69 /  $109.75 / 
8670 /  Bust-a-Move 2 Arcade Edition /  $12.09 /  $20.19 /  $20.51 / 
13115 /  Casper a Haunting 3D Challenge /  $21.08 /  $34.23 /  $67.49 / 
8708 /  Center Ring Boxing /  $7.99 /  $14.99 /  $15.00 / 
13116 /  Christmas Nights into Dreams /  $28.06 /  $38.28 /  $41.50 / 
8739 /  Clockwork Knight /  $16.92 /  $30.85 /  $117.77 / 
13117 /  Clockwork Knight 2 /  $33.21 /  $56.00 /  $117.45 / 
8751 /  College Slam /  $5.99 /  $12.49 /  $13.99 / 
8756 /  Command and Conquer /  $10.50 /  $19.73 /  $44.45 / 
13118 /  Congo the Movie /  $14.46 /  $34.14 /  $47.92 / 
8761 /  Contra Legacy of War /  $40.00 /  $105.50 /  $366.79 / 
8765 /  Corpse Killer Graveyard Edition /  $24.99 /  $31.75 /  $60.03 / 
13119 /  Courier Crisis /  $15.01 /  $46.63 /  $65.00 / 
8779 /  Creature Shock Special Edition /  $16.85 /  $26.46 /  $71.34 / 
8780 /  Crime Wave /  $19.56 /  $32.67 /  $62.61 / 
8781 /  Criticom /  $6.97 /  $11.44 /  $19.99 / 
8782 /  Croc /  $16.47 /  $28.45 /  $50.67 / 
8783 /  Crusader No Remorse /  $13.56 /  $26.99 /  $45.00 / 
13120 /  Crypt Killer /  $57.78 /  $88.58 /  $171.23 / 
8792 /  Cyber Speedway /  $8.00 /  $12.20 /  $19.14 / 
13121 /  Cyberia /  $8.18 /  $13.29 /  $25.48 / 
8798 /  D /  $14.75 /  $46.76 /  $54.98 / 
13122 /  Darius Gaiden /  $37.24 /  $70.30 /  $128.75 / 
8806 /  Dark Legend /  $16.35 /  $39.00 /  $61.30 / 
8807 /  Dark Savior /  $35.00 /  $65.84 /  $145.00 / 
34819 /  Darklight Conflict /  $10.05 /  $21.50 /  $32.16 / 
8819 /  Daytona USA /  $5.49 /  $14.95 /  $40.00 / 
8821 /  Daytona USA Championship /  $13.50 /  $19.73 /  $26.35 / 
14439 /  Daytona USA Championship [Net Link Edition] /  $581.40 /  $1046.53 /  $1860.29 / 
8831 /  Decathlete /  $12.51 /  $21.24 /  $34.65 / 
8835 /  Defcon 5 /  $7.46 /  $17.74 /  $22.92 / 
13124 /  Destruction Derby /  $4.55 /  $15.07 /  $24.67 / 
8842 /  Die Hard Arcade /  $53.74 /  $80.47 /  $103.38 / 
8843 /  Die Hard Trilogy /  $18.97 /  $29.00 /  $67.83 / 
13125 /  Doom /  $26.24 /  $55.00 /  $104.27 / 
8857 /  Double Switch /  $18.20 /  $31.03 /  $58.82 / 
8865 /  Dragon Force /  $89.79 /  $173.74 /  $208.50 / 
8871 /  Dragonheart Fire & Steel /  $11.00 /  $27.99 /  $45.49 / 
8879 /  Duke Nukem 3D /  $30.01 /  $52.91 /  $89.95 / 
8894 /  Earthworm Jim 2 /  $27.21 /  $70.00 /  $176.74 / 
8907 /  Enemy Zero /  $80.00 /  $96.08 /  $149.25 / 
14800 /  F1 Challenge /  $7.06 /  $15.00 /  $22.96 / 
8957 /  FIFA Road to World Cup 98 /  $5.99 /  $10.99 /  $19.31 / 
8963 /  FIFA Soccer 96 /  $5.15 /  $15.49 /  $18.34 / 
18595 /  FIFA Soccer 97 /  $5.80 /  $9.46 /  $12.50 / 
8966 /  Fighters MegaMix /  $12.34 /  $26.12 /  $69.95 / 
8968 /  Fighting Vipers /  $9.98 /  $13.20 /  $29.08 / 
8988 /  Frank Thomas Big Hurt Baseball /  $4.01 /  $9.25 /  $22.87 / 
9006 /  Galactic Attack /  $30.50 /  $51.16 /  $98.39 / 
9008 /  Galaxy Fight /  $24.95 /  $51.61 /  $130.00 / 
40426 /  Gameshark /  $12.79 /  $18.55 /  $37.49 / 
9026 /  Gex /  $16.99 /  $28.78 /  $68.48 / 
9027 /  Ghen War /  $6.59 /  $12.57 /  $21.81 / 
9048 /  Golden Axe The Duel /  $30.62 /  $69.82 /  $98.14 / 
13126 /  Grand Slam /  $9.18 /  $27.47 /  $42.12 / 
13127 /  Grid Runner /  $7.87 /  $18.04 /  $25.22 / 
9073 /  Guardian Heroes /  $70.77 /  $172.50 /  $301.86 / 
9076 /  Gun Griffon /  $14.97 /  $30.06 /  $30.88 / 
9087 /  Hang-On GP /  $12.96 /  $19.89 /  $30.24 / 
9101 /  Heir of Zendor The Legend and The Land /  $11.99 /  $18.99 /  $24.98 / 
9102 /  "Hercs Adventures" /  $60.78 /  $207.10 /  $349.86 / 
9105 /  Hexen /  $15.89 /  $31.94 /  $43.11 / 
9106 /  Hi Octane /  $8.09 /  $11.26 /  $14.98 / 
13128 /  High Velocity Mountain Racing Challenge /  $13.30 /  $29.99 /  $39.99 / 
9110 /  Highway 2000 /  $14.99 /  $54.13 /  $91.92 / 
9136 /  Hyper 3D Pinball /  $7.06 /  $12.75 /  $22.57 / 
9140 /  Impact Racing /  $8.00 /  $17.76 /  $30.79 / 
9141 /  In the Hunt /  $53.82 /  $100.38 /  $180.13 / 
9144 /  Independence Day /  $8.64 /  $17.08 /  $17.99 / 
9151 /  Iron Man X-O Manowar in Heavy Metal /  $10.55 /  $16.51 /  $28.05 / 
