14490 /  Aero Blasters /  $49.94 /  $69.48 /  $258.36 / 
32782 /  Ai: Cho Aniki [Super CD] /  $30.80 /  $56.76 /  $113.52 / 
12043 /  Air Zonk /  $131.92 /  $265.67 /  $865.92 / 
12044 /  Alien Crush /  $23.07 /  $29.25 /  $72.81 / 
14491 /  Andre Panza Kick Boxing /  $15.45 /  $19.90 /  $69.23 / 
14492 /  Ballistix /  $30.70 /  $55.37 /  $74.00 / 
14493 /  Battle Royale /  $17.02 /  $22.23 /  $62.82 / 
32783 /  Beyond Shadowgate [Super CD] /  $218.25 /  $449.99 /  $899.98 / 
12046 /  Blazing Lazers /  $45.74 /  $64.77 /  $112.60 / 
12047 /  Bloody Wolf /  $37.78 /  $49.88 /  $224.81 / 
14494 /  Bomberman /  $51.00 /  $72.47 /  $185.09 / 
12048 /  Bomberman 93 /  $92.08 /  $179.99 /  $302.08 / 
12049 /  "Bonk 1 Bonks Adventure" /  $31.56 /  $43.99 /  $144.99 / 
12050 /  "Bonk 2 Bonks Revenge" /  $39.95 /  $54.35 /  $106.40 / 
12051 /  "Bonk 3 Bonks Big Adventure" /  $263.36 /  $433.14 /  $866.28 / 
32763 /  "Bonk 3 Bonks Big Adventure [Super CD]" /  $188.88 /  $969.49 /  $1938.98 / 
14495 /  Boxyboy /  $26.01 /  $33.50 /  $208.06 / 
12052 /  Bravoman /  $28.45 /  $35.99 /  $57.69 / 
32775 /  Buster Bros [Super CD] /  $35.00 /  $45.57 /  $53.62 / 
18628 /  Cadash /  $81.21 /  $122.90 /  $450.00 / 
32785 /  Camp California [Super CD] /  $113.61 /  $177.58 /  $355.16 / 
59723 /  Carrying Case /   /   /   / 
32773 /  Castlevania X: Rondo of Blood [Super CD] /  $151.31 /  $175.25 /  $350.50 / 
14496 /  Champions Forever Boxing /  $16.95 /  $28.26 /  $89.96 / 
14497 /  Chase HQ /  $94.14 /  $186.10 /  $372.20 / 
12053 /  Chew Man Fu /  $64.94 /  $88.17 /  $177.14 / 
12054 /  China Warrior /  $15.89 /  $21.99 /  $63.38 / 
18629 /  Cosmic Fantasy 2 [Super CD] /  $46.52 /  $57.60 /  $94.95 / 
32787 /  Cotton: Fantastic Night Dreams [Super CD] /  $183.34 /  $404.01 /  $543.54 / 
12055 /  Cratermaze /  $17.73 /  $39.99 /  $79.82 / 
14498 /  Cybercore /  $43.81 /  $54.75 /  $96.52 / 
32769 /  Darius Alpha [Japan] /  $780.66 /  $1553.42 /  $3106.84 / 
14499 /  Darkwing Duck /  $100.28 /  $145.50 /  $202.50 / 
14500 /  Davis Cup Tennis /  $15.00 /  $19.79 /  $25.38 / 
12056 /  Dead Moon /  $74.96 /  $176.93 /  $181.47 / 
14501 /  Deep Blue /  $30.82 /  $40.25 /  $52.00 / 
12057 /  "Devils Crush" /  $63.99 /  $83.96 /  $174.99 / 
12058 /  Double Dungeons /  $21.59 /  $33.61 /  $129.06 / 
