16070 //  3D Tetris //  $84.92 //  $156.95 //  $159.95 // 
37289 //  Bound High //  $78.27 //  $119.99 //  $352.22 // 
16071 //  Galactic Pinball //  $19.49 //  $30.43 //  $51.92 // 
16072 //  Golf //  $19.99 //  $47.54 //  $69.99 // 
37419 //  Hyper Fighting [Homebrew] //  $223.00 //  $465.50 //  $1003.37 // 
16073 //  Jack Bros. //  $483.48 //  $700.00 //  $1000.00 // 
14217 //  Mario Clash //  $33.49 //  $69.97 //  $115.00 // 
16074 //  "Marios Tennis" //  $12.00 //  $149.99 //  $290.57 // 
16075 //  "Nesters Funky Bowling" //  $51.40 //  $119.99 //  $182.05 // 
67049 //  Nintendo Virtual Boy AC Adapter //   //   //   // 
16076 //  Panic Bomber //  $30.83 //  $66.85 //  $104.93 // 
16077 //  Red Alarm //  $18.92 //  $35.61 //  $56.73 // 
63971 //  Red Alarm [Not for Resale] //  $52.50 //   //   // 
50176 //  SD Gundam Dimension Wars [Homebrew] //  $54.55 //  $119.99 //  $239.98 // 
14346 //  Teleroboxer //  $22.16 //  $38.19 //  $52.50 // 
16078 //  Vertical Force //  $35.20 //  $69.43 //  $90.04 // 
19445 //  Virtual Bowling //  $75.00 //  $1299.99 //   // 
20121 //  Virtual Boy System //  $99.92 //  $337.91 //  $398.00 // 
16079 //  Virtual League Baseball //  $13.37 //  $19.50 //  $19.99 // 
14198 //  Wario Land //  $29.97 //  $56.56 //  $118.58 // 
65270 //  Wario Land [Not For Resale] //   //   //   // 
16080 //  Waterworld //  $141.44 //  $272.50 //  $302.11 // 
