16070 /  3D Tetris /  $85.14 /  $156.39 /  $169.40 / 
37289 /  Bound High /  $78.27 /  $159.00 /  $352.22 / 
16071 /  Galactic Pinball /  $19.14 /  $36.49 /  $60.18 / 
16072 /  Golf /  $21.59 /  $43.17 /  $69.99 / 
37419 /  Hyper Fighting [Homebrew] /  $249.99 /  $485.24 /  $1124.96 / 
16073 /  Jack Bros. /  $387.50 /  $715.00 /  $1000.00 / 
14217 /  Mario Clash /  $30.66 /  $72.95 /  $127.51 / 
16074 /  "Marios Tennis" /  $10.19 /  $190.68 /  $294.71 / 
16075 /  "Nesters Funky Bowling" /  $49.80 /  $134.54 /  $197.47 / 
16076 /  Panic Bomber /  $31.32 /  $54.82 /  $99.99 / 
16077 /  Red Alarm /  $19.35 /  $36.52 /  $59.99 / 
63971 /  Red Alarm [Not for Resale] /  $52.50 /   /   / 
50176 /  SD Gundam Dimension Wars [Homebrew] /  $54.55 /  $119.99 /  $239.98 / 
14346 /  Teleroboxer /  $22.83 /  $41.71 /  $55.00 / 
16078 /  Vertical Force /  $34.31 /  $66.38 /  $96.80 / 
19445 /  Virtual Bowling /  $129.99 /  $1299.99 /   / 
20121 /  Virtual Boy System /  $134.05 /  $249.99 /  $398.00 / 
16079 /  Virtual League Baseball /  $15.60 /  $19.24 /  $19.92 / 
14198 /  Wario Land /  $28.04 /  $55.16 /  $112.03 / 
65270 /  Wario Land [Not For Resale] /   /   /   / 
16080 /  Waterworld /  $129.95 /  $270.00 /  $303.69 / 
